Event,1st,2nd,3rd,4th,5th,6th,7th,8th
10k (M),GBR,UGA,KEN,KEN,ETH,KEN,ETH,CAN
Discus (M),LTU,SWE,USA,JAM,POL,GER,POL,JAM
Long Jump (M),RSA,USA,RSA,ANA,CUB,CHN,CHN,SWE
10k (W),ETH,ETH,KEN,KEN,NED,USA,KEN,USA
100 (M),USA,USA,JAM,JAM,RSA,FRA,GBR,CHN
Marathon (M),KEN,ETH,TAN,GBR,KEN,ITA,ERI,KEN
Marathon (W),BRN,KEN,USA,KEN,ETH,BRN,KEN,ETH
Pole Vault (W),GRE,USA,VEN,CUB,GER,GBR,CAN,ANA
Shot Put (M),NZL,USA,CRO,CZE,POL,USA,USA,POL
100 (W),USA,CIV,NED,CIV,JAM,TTO,BRA,TTO
Hammer Throw (W),POL,CHN,POL,CHN,AZE,POL,GBR,CZE
Triple Jump (W),VEN,COL,KAZ,ISR,GER,POL,ESP,JAM
110h (M),JAM,ANA,HUN,FRA,USA,BAR,ESP,JAM
1500 (W),KEN,USA,RSA,GBR,NED,GBR,POL,MAR
Heptathlon,BEL,USA,NED,GER,CZE,BEN,FRA,HUN
Javelin (W),CZE,CHN,CHN,CRO,TUR,BLR,GER,CHN
3000 (M),KEN,MAR,USA,FRA,USA,CAN,ETH,ETH
800 (M),FRA,POL,KEN,GBR,BOT,ETH,BRA,CAN
400 (M),RSA,BAH,QAT,BOT,JAM,JAM,USA,
Pole Vault (M),USA,POL,FRA,CHN,POL,FRA,AUS,CAN